Date,Open,High,Low,Close,Volume,Adj Close
2015-02-20,7.79592,7.79592,7.79592,7.79592,000,7.79592
2015-02-19,7.77389,7.77389,7.77389,7.77389,000,7.77389
2015-02-18,7.73811,7.73811,7.73811,7.73811,000,7.73811
2015-02-17,7.70864,7.70864,7.70864,7.70864,000,7.70864
2015-02-16,7.73897,7.73897,7.73897,7.73897,000,7.73897
2015-02-13,7.7349,7.7349,7.7349,7.7349,000,7.7349
2015-02-11,7.69326,7.69326,7.69326,7.69326,000,7.69326
2015-02-10,7.72396,7.72396,7.72396,7.72396,000,7.72396
2015-02-09,7.71108,7.71108,7.71108,7.71108,000,7.71108
2015-02-06,7.63327,7.63327,7.63327,7.63327,000,7.63327
2015-02-05,7.50473,7.50473,7.50473,7.50473,000,7.50473
2015-02-04,7.50042,7.50042,7.50042,7.50042,000,7.50042
2015-02-03,7.45757,7.45757,7.45757,7.45757,000,7.45757
2015-01-30,7.58283,7.58283,7.58283,7.58283,000,7.58283
2015-01-29,7.61486,7.61486,7.61486,7.61486,000,7.61486
2015-01-28,7.66322,7.66322,7.66322,7.66322,000,7.66322
2015-01-27,7.68587,7.68587,7.68587,7.68587,000,7.68587
2015-01-26,7.67036,7.67036,7.67036,7.67036,000,7.67036
2015-01-23,7.72894,7.72894,7.72894,7.72894,000,7.72894
2015-01-22,7.64366,7.64366,7.64366,7.64366,000,7.64366
2015-01-21,7.56973,7.56973,7.56973,7.56973,000,7.56973
2015-01-20,7.532,7.532,7.532,7.532,000,7.532
2015-01-19,7.53443,7.53443,7.53443,7.53443,000,7.53443
2015-01-16,7.48808,7.48808,7.48808,7.48808,000,7.48808
2015-01-15,7.48249,7.48249,7.48249,7.48249,000,7.48249
2015-01-14,7.55481,7.55481,7.55481,7.55481,000,7.55481
2015-01-13,7.61266,7.61266,7.61266,7.61266,000,7.61266
2015-01-12,7.6903,7.6903,7.6903,7.6903,000,7.6903
2015-01-09,7.68282,7.68282,7.68282,7.68282,000,7.68282
2015-01-08,7.62054,7.62054,7.62054,7.62054,000,7.62054
2015-01-07,7.51753,7.51753,7.51753,7.51753,000,7.51753
2015-01-05,7.65739,7.65739,7.65739,7.65739,000,7.65739
2015-01-02,7.80521,7.80521,7.80521,7.80521,000,7.80521
2014-12-31,7.76629,7.76629,7.76629,7.76629,000,7.76629
2014-12-30,7.77698,7.77698,7.77698,7.77698,000,7.77698
2014-12-29,7.72548,7.72548,7.72548,7.72548,000,7.72548
2014-12-26,7.7284,7.7284,7.7284,7.7284,000,7.7284
2014-12-24,7.72042,7.72042,7.72042,7.72042,000,7.72042
2014-12-23,7.69727,7.69727,7.69727,7.69727,000,7.69727
2014-12-22,7.68668,7.68668,7.68668,7.68668,000,7.68668
2014-12-18,7.48849,7.48849,7.48849,7.48849,000,7.48849
2014-12-17,7.38848,7.38848,7.38848,7.38848,000,7.38848
2014-12-15,7.58395,7.58395,7.58395,7.58395,000,7.58395
2014-12-11,7.54083,7.54083,7.54083,7.54083,000,7.54083
2014-12-10,7.65608,7.65608,7.65608,7.65608,000,7.65608
2014-12-09,7.74208,7.74208,7.74208,7.74208,000,7.74208
2014-12-08,7.82108,7.82108,7.82108,7.82108,000,7.82108
2014-12-05,7.77113,7.77113,7.77113,7.77113,000,7.77113
2014-12-04,7.79653,7.79653,7.79653,7.79653,000,7.79653
2014-12-03,7.76378,7.76378,7.76378,7.76378,000,7.76378
2014-12-02,7.83946,7.83946,7.83946,7.83946,000,7.83946
2014-12-01,7.9817,7.9817,7.9817,7.9817,000,7.9817
2014-11-28,8.03855,8.03855,8.03855,8.03855,000,8.03855
2014-11-27,8.03553,8.03553,8.03553,8.03553,000,8.03553
2014-11-26,8.02758,8.02758,8.02758,8.02758,000,8.02758
2014-11-25,8.04119,8.04119,8.04119,8.04119,000,8.04119
2014-11-24,8.05069,8.05069,8.05069,8.05069,000,8.05069
2014-11-21,8.01431,8.01431,8.01431,8.01431,000,8.01431
2014-11-20,8.01139,8.01139,8.01139,8.01139,000,8.01139
2014-11-19,7.95202,7.95202,7.95202,7.95202,000,7.95202
2014-11-18,7.9631,7.9631,7.9631,7.9631,000,7.9631
2014-11-14,8.00158,8.00158,8.00158,8.00158,000,8.00158
2014-11-13,8.01153,8.01153,8.01153,8.01153,000,8.01153
2014-11-12,8.06675,8.06675,8.06675,8.06675,000,8.06675
2014-11-11,8.10404,8.10404,8.10404,8.10404,000,8.10404
2014-11-10,8.10225,8.10225,8.10225,8.10225,000,8.10225
2014-11-07,8.13882,8.13882,8.13882,8.13882,000,8.13882
2014-11-06,8.16543,8.16543,8.16543,8.16543,000,8.16543
2014-11-05,8.15635,8.15635,8.15635,8.15635,000,8.15635
2014-11-04,8.18035,8.18035,8.18035,8.18035,000,8.18035
2014-11-03,8.16351,8.16351,8.16351,8.16351,000,8.16351
2014-10-31,8.11401,8.11401,8.11401,8.11401,000,8.11401
2014-10-30,8.08116,8.08116,8.08116,8.08116,000,8.08116
2014-10-29,8.07747,8.07747,8.07747,8.07747,000,8.07747
2014-10-28,8.03814,8.03814,8.03814,8.03814,000,8.03814
2014-10-27,8.03976,8.03976,8.03976,8.03976,000,8.03976
2014-10-24,8.02402,8.02402,8.02402,8.02402,000,8.02402
2014-10-23,8.00126,8.00126,8.00126,8.00126,000,8.00126
2014-10-22,8.03644,8.03644,8.03644,8.03644,000,8.03644
2014-10-21,8.0044,8.0044,8.0044,8.0044,000,8.0044
2014-10-20,8.0084,8.0084,8.0084,8.0084,000,8.0084
2014-10-17,7.95902,7.95902,7.95902,7.95902,000,7.95902
2014-10-16,7.95706,7.95706,7.95706,7.95706,000,7.95706
2014-10-15,7.98929,7.98929,7.98929,7.98929,000,7.98929
2014-10-14,8.01424,8.01424,8.01424,8.01424,000,8.01424
2014-10-13,8.04184,8.04184,8.04184,8.04184,000,8.04184
2014-10-10,8.13164,8.13164,8.13164,8.13164,000,8.13164
2014-10-09,8.17941,8.17941,8.17941,8.17941,000,8.17941
2014-10-08,8.20441,8.20441,8.20441,8.20441,000,8.20441
2014-10-07,8.25533,8.25533,8.25533,8.25533,000,8.25533
2014-10-06,8.21988,8.21988,8.21988,8.21988,000,8.21988
2014-10-03,8.15817,8.15817,8.15817,8.15817,000,8.15817
2014-10-02,8.1798,8.1798,8.1798,8.1798,000,8.1798
2014-10-01,8.24497,8.24497,8.24497,8.24497,000,8.24497
2014-09-30,8.20953,8.20953,8.20953,8.20953,000,8.20953
2014-09-29,8.20517,8.20517,8.20517,8.20517,000,8.20517
2014-09-26,8.18805,8.18805,8.18805,8.18805,000,8.18805
2014-09-25,8.23054,8.23054,8.23054,8.23054,000,8.23054
2014-09-24,8.21049,8.21049,8.21049,8.21049,000,8.21049
2014-09-23,8.24245,8.24245,8.24245,8.24245,000,8.24245
2014-09-22,8.29768,8.29768,8.29768,8.29768,000,8.29768
2014-09-19,8.31631,8.31631,8.31631,8.31631,000,8.31631
2014-09-18,8.31349,8.31349,8.31349,8.31349,000,8.31349
2014-09-17,8.27824,8.27824,8.27824,8.27824,000,8.27824
2014-09-15,8.25581,8.25581,8.25581,8.25581,000,8.25581
2014-09-12,8.25764,8.25764,8.25764,8.25764,000,8.25764
2014-09-11,8.28387,8.28387,8.28387,8.28387,000,8.28387
2014-09-10,8.29303,8.29303,8.29303,8.29303,000,8.29303
2014-09-09,8.37269,8.37269,8.37269,8.37269,000,8.37269
2014-09-08,8.36763,8.36763,8.36763,8.36763,000,8.36763
2014-09-05,8.38635,8.38635,8.38635,8.38635,000,8.38635
2014-09-04,8.34189,8.34189,8.34189,8.34189,000,8.34189
2014-09-03,8.31999,8.31999,8.31999,8.31999,000,8.31999
2014-09-02,8.26484,8.26484,8.26484,8.26484,000,8.26484
2014-08-29,8.26343,8.26343,8.26343,8.26343,000,8.26343
2014-08-28,8.28374,8.28374,8.28374,8.28374,000,8.28374
2014-08-27,8.25307,8.25307,8.25307,8.25307,000,8.25307
2014-08-26,8.25098,8.25098,8.25098,8.25098,000,8.25098
2014-08-25,8.23542,8.23542,8.23542,8.23542,000,8.23542
2014-08-22,8.25195,8.25195,8.25195,8.25195,000,8.25195
2014-08-21,8.24835,8.24835,8.24835,8.24835,000,8.24835
2014-08-20,8.19985,8.19985,8.19985,8.19985,000,8.19985
2014-08-19,8.19905,8.19905,8.19905,8.19905,000,8.19905
2014-08-18,8.17153,8.17153,8.17153,8.17153,000,8.17153
2014-08-15,8.19513,8.19513,8.19513,8.19513,000,8.19513
2014-08-13,8.19538,8.19538,8.19538,8.19538,000,8.19538
2014-08-12,8.1811,8.1811,8.1811,8.1811,000,8.1811
2014-08-11,8.13192,8.13192,8.13192,8.13192,000,8.13192
2014-08-08,8.13268,8.13268,8.13268,8.13268,000,8.13268
2014-08-07,8.16281,8.16281,8.16281,8.16281,000,8.16281
2014-08-06,8.17846,8.17846,8.17846,8.17846,000,8.17846
2014-08-05,8.18834,8.18834,8.18834,8.18834,000,8.18834
2014-08-04,8.11805,8.11805,8.11805,8.11805,000,8.11805
2014-07-31,8.15932,8.15932,8.15932,8.15932,000,8.15932
2014-07-30,8.18756,8.18756,8.18756,8.18756,000,8.18756
2014-07-29,8.17935,8.17935,8.17935,8.17935,000,8.17935
2014-07-28,8.17605,8.17605,8.17605,8.17605,000,8.17605
2014-07-25,8.17311,8.17311,8.17311,8.17311,000,8.17311
2014-07-24,8.13468,8.13468,8.13468,8.13468,000,8.13468
2014-07-23,8.11698,8.11698,8.11698,8.11698,000,8.11698
2014-07-22,8.07946,8.07946,8.07946,8.07946,000,8.07946
2014-07-21,8.08544,8.08544,8.08544,8.08544,000,8.08544
2014-07-18,8.05685,8.05685,8.05685,8.05685,000,8.05685
2014-07-17,8.06619,8.06619,8.06619,8.06619,000,8.06619
2014-07-16,8.07994,8.07994,8.07994,8.07994,000,8.07994
2014-07-15,8.07038,8.07038,8.07038,8.07038,000,8.07038
2014-07-14,8.01767,8.01767,8.01767,8.01767,000,8.01767
2014-07-11,8.0216,8.0216,8.0216,8.0216,000,8.0216
2014-07-10,8.06481,8.06481,8.06481,8.06481,000,8.06481
2014-07-09,8.02001,8.02001,8.02001,8.02001,000,8.02001
2014-07-08,8.02207,8.02207,8.02207,8.02207,000,8.02207
2014-07-07,8.03163,8.03163,8.03163,8.03163,000,8.03163
2014-07-04,8.05229,8.05229,8.05229,8.05229,000,8.05229
2014-07-03,8.00092,8.00092,8.00092,8.00092,000,8.00092
2014-07-02,7.95699,7.95699,7.95699,7.95699,000,7.95699
2014-07-01,7.95352,7.95352,7.95352,7.95352,000,7.95352
2014-06-30,7.90893,7.90893,7.90893,7.90893,000,7.90893
2014-06-27,7.89942,7.89942,7.89942,7.89942,000,7.89942
2014-06-26,7.90552,7.90552,7.90552,7.90552,000,7.90552
2014-06-25,7.93137,7.93137,7.93137,7.93137,000,7.93137
2014-06-24,7.93485,7.93485,7.93485,7.93485,000,7.93485
2014-06-23,7.926,7.926,7.926,7.926,000,7.926
2014-06-20,7.88988,7.88988,7.88988,7.88988,000,7.88988
2014-06-19,7.84533,7.84533,7.84533,7.84533,000,7.84533
2014-06-18,7.81604,7.81604,7.81604,7.81604,000,7.81604
2014-06-17,7.80644,7.80644,7.80644,7.80644,000,7.80644
2014-06-16,7.76401,7.76401,7.76401,7.76401,000,7.76401
2014-06-13,7.79723,7.79723,7.79723,7.79723,000,7.79723
2014-06-12,7.83115,7.83115,7.83115,7.83115,000,7.83115
2014-06-11,7.83177,7.83177,7.83177,7.83177,000,7.83177
2014-06-10,7.80946,7.80946,7.80946,7.80946,000,7.80946
2014-06-09,7.79935,7.79935,7.79935,7.79935,000,7.79935
2014-06-06,7.73293,7.73293,7.73293,7.73293,000,7.73293
2014-06-05,7.68501,7.68501,7.68501,7.68501,000,7.68501
2014-06-04,7.71582,7.71582,7.71582,7.71582,000,7.71582
2014-06-02,7.62595,7.62595,7.62595,7.62595,000,7.62595
2014-05-30,7.65475,7.65475,7.65475,7.65475,000,7.65475
2014-05-29,7.61119,7.61119,7.61119,7.61119,000,7.61119
2014-05-28,7.61699,7.61699,7.61699,7.61699,000,7.61699
2014-05-27,7.60669,7.60669,7.60669,7.60669,000,7.60669
2014-05-26,7.58778,7.58778,7.58778,7.58778,000,7.58778
2014-05-23,7.57813,7.57813,7.57813,7.57813,000,7.57813
2014-05-22,7.5392,7.5392,7.5392,7.5392,000,7.5392
2014-05-21,7.52798,7.52798,7.52798,7.52798,000,7.52798
2014-05-20,7.5353,7.5353,7.5353,7.5353,000,7.5353
2014-05-19,7.54042,7.54042,7.54042,7.54042,000,7.54042
2014-05-16,7.50702,7.50702,7.50702,7.50702,000,7.50702
2014-05-15,7.56754,7.56754,7.56754,7.56754,000,7.56754
2014-05-14,7.55269,7.55269,7.55269,7.55269,000,7.55269
2014-05-13,7.53447,7.53447,7.53447,7.53447,000,7.53447
2014-05-12,7.48286,7.48286,7.48286,7.48286,000,7.48286
2014-05-09,7.48961,7.48961,7.48961,7.48961,000,7.48961
2014-05-08,7.49891,7.49891,7.49891,7.49891,000,7.49891
2014-05-07,7.42604,7.42604,7.42604,7.42604,000,7.42604
2014-05-06,7.37637,7.37637,7.37637,7.37637,000,7.37637
2014-05-05,7.37981,7.37981,7.37981,7.37981,000,7.37981
2014-05-02,7.39029,7.39029,7.39029,7.39029,000,7.39029
2014-04-30,7.41686,7.41686,7.41686,7.41686,000,7.41686
2014-04-29,7.37325,7.37325,7.37325,7.37325,000,7.37325
2014-04-28,7.38793,7.38793,7.38793,7.38793,000,7.38793
2014-04-25,7.42819,7.42819,7.42819,7.42819,000,7.42819
2014-04-24,7.37399,7.37399,7.37399,7.37399,000,7.37399
2014-04-23,7.40312,7.40312,7.40312,7.40312,000,7.40312
2014-04-22,7.42354,7.42354,7.42354,7.42354,000,7.42354
2014-04-21,7.4551,7.4551,7.4551,7.4551,000,7.4551
2014-04-16,7.39703,7.39703,7.39703,7.39703,000,7.39703
2014-04-15,7.40789,7.40789,7.40789,7.40789,000,7.40789
2014-04-14,7.38518,7.38518,7.38518,7.38518,000,7.38518
2014-04-11,7.39221,7.39221,7.39221,7.39221,000,7.39221
2014-04-10,7.42692,7.42692,7.42692,7.42692,000,7.42692
2014-04-09,7.415,7.415,7.415,7.415,000,7.415
2014-04-08,7.38346,7.38346,7.38346,7.38346,000,7.38346
2014-04-07,7.36244,7.36244,7.36244,7.36244,000,7.36244
2014-04-04,7.34439,7.34439,7.34439,7.34439,000,7.34439
2014-04-02,7.35273,7.35273,7.35273,7.35273,000,7.35273
2014-04-01,7.33164,7.33164,7.33164,7.33164,000,7.33164
2014-03-31,7.28089,7.28089,7.28089,7.28089,000,7.28089
2014-03-28,7.26267,7.26267,7.26267,7.26267,000,7.26267
2014-03-27,7.24434,7.24434,7.24434,7.24434,000,7.24434
2014-03-26,7.23275,7.23275,7.23275,7.23275,000,7.23275
2014-03-25,7.23175,7.23175,7.23175,7.23175,000,7.23175
2014-03-24,7.23438,7.23438,7.23438,7.23438,000,7.23438
2014-03-21,7.19428,7.19428,7.19428,7.19428,000,7.19428
2014-03-20,7.10791,7.10791,7.10791,7.10791,000,7.10791
2014-03-19,7.07564,7.07564,7.07564,7.07564,000,7.07564
2014-03-18,6.98309,6.98309,6.98309,6.98309,000,6.98309
2014-03-14,6.97187,6.97187,6.97187,6.97187,000,6.97187
2014-03-13,7.04272,7.04272,7.04272,7.04272,000,7.04272
2014-03-12,7.01856,7.01856,7.01856,7.01856,000,7.01856
2014-03-11,7.0313,7.0313,7.0313,7.0313,000,7.0313
2014-03-10,7.06749,7.06749,7.06749,7.06749,000,7.06749
